Rank,Player,Position,Team,PosDetail
1,Saquon Barkley,RB,NYG,RB1
2,Christian McCaffrey,RB,CAR,RB2
3,Alvin Kamara,RB,NO,RB3
4,Ezekiel Elliott,RB,DAL,RB4
5,David Johnson,RB,ARI,RB5
6,Le'Veon Bell,RB,NYJ,RB6
7,DeAndre Hopkins,WR,HOU,WR1
8,Michael Thomas,WR,NO,WR2
9,Davante Adams,WR,GB,WR3
10,Julio Jones,WR,ATL,WR4
11,Odell Beckham Jr.,WR,CLE,WR5
12,Tyreek Hill,WR,KC,WR6
13,JuJu Smith-Schuster,WR,PIT,WR7
14,Todd Gurley II,RB,LAR,RB7
15,Travis Kelce,TE,KC,TE1
16,Antonio Brown,WR,OAK,WR8
17,Joe Mixon,RB,CIN,RB8
18,James Conner,RB,PIT,RB9
19,Dalvin Cook,RB,MIN,RB10
20,Mike Evans,WR,TB,WR9
21,Keenan Allen,WR,LAC,WR10
22,Nick Chubb,RB,CLE,RB11
23,Kerryon Johnson,RB,DET,RB12
24,Leonard Fournette,RB,JAC,RB13
25,Devonta Freeman,RB,ATL,RB14
26,Melvin Gordon,RB,LAC,RB15
27,Amari Cooper,WR,DAL,WR11
28,T.Y. Hilton,WR,IND,WR12
29,George Kittle,TE,SF,TE2
30,Zach Ertz,TE,PHI,TE3
31,Josh Jacobs,RB,OAK,RB16
32,Derrick Henry,RB,TEN,RB17
33,Chris Carson,RB,SEA,RB18
34,Marlon Mack,RB,IND,RB19
35,Aaron Jones,RB,GB,RB20
36,Julian Edelman,WR,NE,WR13
37,Adam Thielen,WR,MIN,WR14
38,Brandin Cooks,WR,LAR,WR15
39,Stefon Diggs,WR,MIN,WR16
40,Robert Woods,WR,LAR,WR17
41,Kenny Golladay,WR,DET,WR18
42,Cooper Kupp,WR,LAR,WR19
43,Patrick Mahomes,QB,KC,QB1
44,Damien Williams,RB,KC,RB21
45,Mark Ingram II,RB,BAL,RB22
46,Alshon Jeffery,WR,PHI,WR20
47,Chris Godwin,WR,TB,WR21
48,Tyler Lockett,WR,SEA,WR22
49,Mike Williams,WR,LAC,WR23
50,DJ Moore,WR,CAR,WR24
51,Tyler Boyd,WR,CIN,WR25
52,Allen Robinson,WR,CHI,WR26
53,Calvin Ridley,WR,ATL,WR27
54,Sammy Watkins,WR,KC,WR28
55,A.J. Green,WR,CIN,WR29
56,James White,RB,NE,RB23
57,Sony Michel,RB,NE,RB24
58,Kenyan Drake,RB,MIA,RB25
59,David Montgomery,RB,CHI,RB26
60,Tarik Cohen,RB,CHI,RB27
61,Phillip Lindsay,RB,DEN,RB28
62,Derrius Guice,RB,WAS,RB29
63,Lamar Miller,RB,HOU,RB30
64,Evan Engram,TE,NYG,TE4
65,O.J. Howard,TE,TB,TE5
66,Hunter Henry,TE,LAC,TE6
67,Jared Cook,TE,NO,TE7
68,Deshaun Watson,QB,HOU,QB2
69,Matt Ryan,QB,ATL,QB3
70,Aaron Rodgers,QB,GB,QB4
71,Sterling Shepard,WR,NYG,WR30
72,Jarvis Landry,WR,CLE,WR31
73,Robby Anderson,WR,NYJ,WR32
74,Dede Westbrook,WR,JAC,WR33
75,Will Fuller V,WR,HOU,WR34
76,Marvin Jones Jr.,WR,DET,WR35
77,Christian Kirk,WR,ARI,WR36
78,Emmanuel Sanders,WR,DEN,WR37
79,Tevin Coleman,RB,SF,RB31
80,Miles Sanders,RB,PHI,RB32
81,Austin Ekeler,RB,LAC,RB33
82,Duke Johnson Jr.,RB,HOU,RB34
83,Royce Freeman,RB,DEN,RB35
84,Rashaad Penny,RB,SEA,RB36
85,Nyheim Hines,RB,IND,RB37
86,Cam Newton,QB,CAR,QB5
87,Baker Mayfield,QB,CLE,QB6
88,Carson Wentz,QB,PHI,QB7
89,Andrew Luck,QB,IND,QB8
90,Corey Davis,WR,TEN,WR38
91,Jamison Crowder,WR,NYJ,WR39
92,Curtis Samuel,WR,CAR,WR40
93,Josh Gordon,WR,NE,WR41
94,Larry Fitzgerald,WR,ARI,WR42
95,Courtland Sutton,WR,DEN,WR43
96,Keke Coutee,WR,HOU,WR44
97,Michael Gallup,WR,DAL,WR45
98,Jordan Howard,RB,PHI,RB38
99,Peyton Barber,RB,TB,RB39
100,Matt Breida,RB,SF,RB40
101,Latavius Murray,RB,NO,RB41
102,LeSean McCoy,RB,BUF,RB42
103,Carlos Hyde,RB,KC,RB43
104,Darrell Henderson,RB,LAR,RB44
105,Dante Pettis,WR,SF,WR46
106,Donte Moncrief,WR,PIT,WR47
107,James Washington,WR,PIT,WR48
108,Geronimo Allison,WR,GB,WR49
109,Vance McDonald,TE,PIT,TE8
110,David Njoku,TE,CLE,TE9
111,Delanie Walker,TE,TEN,TE10
112,Eric Ebron,TE,IND,TE11
113,Dak Prescott,QB,DAL,QB9
114,Drew Brees,QB,NO,QB10
115,Ben Roethlisberger,QB,PIT,QB11
116,Russell Wilson,QB,SEA,QB12
117,Kyler Murray,QB,ARI,QB13
118,Jared Goff,QB,LAR,QB14
119,Marquez Valdes-Scantling,WR,GB,WR50
120,DeSean Jackson,WR,PHI,WR51
121,Tyrell Williams,WR,OAK,WR52
122,Devin Funchess,WR,IND,WR53
123,Anthony Miller,WR,CHI,WR54
124,Tom Brady,QB,NE,QB15
125,Lamar Jackson,QB,BAL,QB16
126,DK Metcalf,WR,SEA,WR55
127,Kenny Stills,WR,MIA,WR56
128,Golden Tate,WR,NYG,WR57
129,Adam Humphries,WR,TEN,WR58
130,Albert Wilson,WR,MIA,WR59
131,Austin Hooper,TE,ATL,TE12
132,Jordan Reed,TE,WAS,TE13
133,Trey Burton,TE,CHI,TE14
134,Mark Andrews,TE,BAL,TE15
135,Ronald Jones,RB,TB,RB45
136,Jalen Richard,RB,OAK,RB46
137,Dion Lewis,RB,TEN,RB47
138,Giovani Bernard,RB,CIN,RB48
139,John Brown,WR,BUF,WR60
140,DaeSean Hamilton,WR,DEN,WR61
141,Bears D/ST,DST,CHI,DST1
142,Jaguars D/ST,DST,JAC,DST2
143,Bills D/ST,DST,BUF,DST3
144,Rams D/ST,DST,LAR,DST4
145,Vikings D/ST,DST,MIN,DST5
146,Saints D/ST,DST,NO,DST6
147,Chargers D/ST,DST,LAC,DST7
148,Patriots D/ST,DST,NE,DST8
149,Colts D/ST,DST,IND,DST9
150,Titans D/ST,DST,TEN,DST10
151,Greg Zuerlein,K,LAR,K1
152,Justin Tucker,K,BAL,K2
153,Wil Lutz,K,NO,K3
154,Harrison Butker,K,KC,K4
155,Stephen Gostkowski,K,NE,K5
156,Ka'imi Fairbairn,K,HOU,K6
157,Robbie Gould,K,SF,K7
158,Mike Badgley,K,LAC,K8
159,Adam Vinatieri,K,IND,K9
160,Brett Maher,K,DAL,K10
161,Mohamed Sanu,WR,ATL,WR62
162,Parris Campbell,WR,IND,WR63
163,Deebo Samuel,WR,SF,WR64
164,Greg Olsen,TE,CAR,TE16
165,Jack Doyle,TE,IND,TE17
166,Jimmy Graham,TE,GB,TE18
167,Mitchell Trubisky,QB,CHI,QB17
168,Jameis Winston,QB,TB,QB18
169,Philip Rivers,QB,LAC,QB19
170,Kalen Ballage,RB,MIA,RB49
171,Jaylen Samuels,RB,PIT,RB50
172,Devin Singletary,RB,BUF,RB51
173,Tony Pollard,RB,DAL,RB52
174,Justin Jackson,RB,LAC,RB53
175,DJ Chark,WR,JAC,WR65
176,Chris Conley,WR,JAC,WR66
177,Marquise Brown,WR,BAL,WR67
178,Paul Richardson,WR,WAS,WR68
179,Tre'Quan Smith,WR,NO,WR69
180,N'Keal Harry,WR,NE,WR70
181,Andy Isabella,WR,ARI,WR71
182,Kirk Cousins,QB,MIN,QB20
183,Kyle Rudolph,TE,MIN,TE19
184,Chris Thompson,RB,WAS,RB54
185,Mike Davis,RB,CHI,RB55
186,Jerick McKinnon,RB,SF,RB56
187,Kareem Hunt,RB,CLE,RB57
188,Darwin Thompson,RB,KC,RB58
189,Broncos D/ST,DST,DEN,DST11
190,Texans D/ST,DST,HOU,DST12
191,Matt Prater,K,DET,K11
192,Jake Elliott,K,PHI,K12
193,Chris Herndon,TE,NYJ,TE20
194,Mark Walton,RB,MIA,RB59
195,Damien Harris,RB,NE,RB60
196,Mecole Hardman,WR,KC,WR72
197,Terry McLaurin,WR,WAS,WR73
198,A.J. Brown,WR,TEN,WR74
199,Justice Hill,RB,BAL,RB61
200,Malcolm Brown,RB,LAR,RB62
201,C.J. Anderson,RB,DET,RB63
202,Dexter Williams,RB,GB,RB64
203,Adrian Peterson,RB,WAS,RB65
204,Jamaal Williams,RB,GB,RB66
205,Ito Smith,RB,ATL,RB67
206,Alexander Mattison,RB,MIN,RB68
207,Gus Edwards,RB,BAL,RB69
208,Chase Edmonds,RB,ARI,RB70
209,Frank Gore,RB,BUF,RB71
210,T.J. Hockenson,TE,DET,TE21
211,Noah Fant,TE,DEN,TE22
212,Derek Carr,QB,OAK,QB21
213,Cole Beasley,WR,BUF,WR75
214,Ted Ginn Jr.,WR,NO,WR76
215,Hakeem Butler,WR,ARI,WR77
216,Randall Cobb,WR,DAL,WR78
217,DeVante Parker,WR,MIA,WR79
218,Zay Jones,WR,BUF,WR80
219,Sam Darnold,QB,NYJ,QB22
220,Jimmy Garoppolo,QB,SF,QB23
221,Eagles D/ST,DST,PHI,DST13
222,Browns D/ST,DST,CLE,DST14
223,Mason Crosby,K,GB,K13
224,Ryan Succop,K,TEN,K14
225,Quincy Enunwa,WR,NYJ,WR81
226,Willie Snead IV,WR,BAL,WR82
227,Josh Doctson,WR,WAS,WR83
228,Trey Quinn,WR,WAS,WR84
229,Nelson Agholor,WR,PHI,WR85
230,John Ross,WR,CIN,WR86
231,Rashard Higgins,WR,CLE,WR87
